Economy,Economy Code,Gallup World Poll identifier,Weight,Respondent is female,Respondent age,Respondent education level,Within-economy household income quintile,Has an account,Has an account at a financial institution,Has a mobile money account,Has a debit card,If has debit card: card in own name,If has debit card: used card in past 12 months,Has a credit card,If has credit card: used card in past 12 months,If does not have account: b/c too far away,If does not have account: b/c too expensive,If does not have account: b/c lack documentation,If does not have account: b/c lack trust,If does not have account: b/c religious reasons,If does not have account: b/c lack of money,If does not have account: b/c family member already has one,If does not have account: b/c cannot get one,If does not have account: b/c no need for financial services,If has account: any deposit into account in past 12 months,If has any deposit into account: number of monthly deposits,If has account: any withdrawal from account in past 12 months,If has any withdrawal from account: number of monthly withdrawals,If has account: most frequent mode of cash withdrawal,If has account: made a transaction using a mobile phone,Made payments online using the Internet,Saved in past 12 months: for farm/business purposes,Saved in past 12 months: for old age,Saved in past 12 months: for education or school fees,Saved in past 12 months: using an account at a financial institution,Saved in past 12 months: using an informal savings club,"Has loan from a financial institution for house, apartment, or land",Borrowed in past 12 months: from a financial institution,Borrowed in past 12 months: from a store (store credit),Borrowed in past 12 months: from family or friends,Borrowed in past 12 months: from another private lender,Borrowed in past 12 months: for education or school fees,Borrowed in past 12 months: for medical purposes,Borrowed in past 12 months: for farm/business purposes,Possibility of coming up with emergency funds,If able to come up with emergency funds: main source,Sent domestic remittances in past 12 months,If sent domestic remittances: in cash,If sent domestic remittances: through a financial institution,If sent domestic remittances: through a mobile phone,If sent domestic remittances: through an MTO,Received domestic remittances in past 12 months,If received domestic remittances: in cash,If received domestic remittances: through a financial institution,If received domestic remittances: through a mobile phone,If received domestic remittances: through an MTO,Paid utility bills in past 12 months,If paid utility bills: in cash,If paid utility bills: using an account,If paid utility bills: through a mobile phone,Paid school fees in past 12 months,If paid school fees: in cash,If paid school fees: using an account,If paid school fees: through a mobile phone,Received wage payments in past 12 months,If received wage payments: work in public sector,If received wage payments: in cash,If received wage payments: into an account or to a card,If received wage payments: through a mobile phone,If received cashless wage payments: account use,If received cashless wage payments: account type,Received government transfers in past 12 months,If received government transfers: in cash,If received government transfers: into an account or to a card,If received government transfers: through a mobile phone,If received cashless government transfers: account use,If received cashless government transfers: account type,Received agricultural payments in past 12 months,If received agricultural payments: in cash,If received agricultural payments: into an account,If received agricultural payments: through a mobile phone,Saved in the past year,Borrowed in the past year
India,IND,123795768,0.496443535,1 male,50,completed primary or less,5 richest 20%,yes,yes,no,yes,no,yes,no,,,,,,,,,,,yes,1 one or two times per month,yes,2 three or more times per month,1 you get it at an atm,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,1 very possible,1 savings,no,,,,,no,,,,,yes,yes,no,no,yes,yes,no,no,no,,,,,,,no,,,,,,yes,yes,no,no,yes,yes
India,IND,133122106,0.876256081,2 female,26,completed primary or less,4 fourth 20%,no,no,no,no,,,no,,no,(dk),no,no,no,no,(dk),no,no,,,,,,,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,4 not at all possible,,no,,,,,no,,,,,yes,yes,no,no,no,,,,no,,,,,,,no,,,,,,yes,yes,no,no,no,yes
India,IND,141083759,4.052691338,1 male,68,completed primary or less,2 second 20%,no,no,no,no,,,no,,no,no,no,no,no,no,no,yes,no,,,,,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2 somewhat possible,"2 family, relatives, or friends",no,,,,,no,,,,,(dk),,,,no,,,,no,,,,,,,yes,yes,no,no,,,no,,,,no,no
India,IND,176391967,0.470739368,2 female,19,completed tertiary or more,5 richest 20%,yes,yes,no,yes,yes,no,no,,,,,,,,,,,yes,2 three or more times per month,yes,2 three or more times per month,1 you get it at an atm,no,no,no,no,no,no,no,no,no,no,(dk),no,no,no,no,1 very possible,1 savings,no,,,,,no,,,,,yes,yes,no,no,no,,,,no,,,,,,,yes,no,yes,no,1 all of the money right away,1 you had this account before you began receiving payments from the government.,(dk),,,,no,no
India,IND,159809642,1.151976856,2 female,28,secondary,5 richest 20%,no,no,no,no,,,no,,no,no,no,no,no,yes,yes,no,no,,,,,,,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,1 very possible,1 savings,no,,,,,no,,,,,(dk),,,,(dk),,,,no,,,,,,,no,,,,,,no,,,,yes,no
India,IND,174676908,0.339494509,1 male,35,completed primary or less,2 second 20%,yes,yes,no,yes,yes,no,no,,,,,,,,,,,yes,2 three or more times per month,yes,2 three or more times per month,1 you get it at an atm,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,2 somewhat possible,"2 family, relatives, or friends",no,,,,,no,,,,,yes,yes,no,no,no,,,,no,,,,,,,no,,,,,,yes,yes,no,no,yes,no
India,IND,114209635,2.085802334,2 female,24,completed primary or less,5 richest 20%,no,no,no,no,,,no,,no,no,yes,no,no,no,yes,no,no,,,,,,,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,2 somewhat possible,"2 family, relatives, or friends",no,,,,,no,,,,,no,,,,no,,,,no,,,,,,,no,,,,,,no,,,,yes,no
India,IND,202665865,0.291581986,1 male,55,completed primary or less,3 middle 20%,no,no,no,no,,,no,,no,no,no,no,no,yes,no,yes,yes,,,,,,,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,4 not at all possible,,no,,,,,no,,,,,yes,yes,no,no,no,,,,yes,no,yes,no,no,,,yes,yes,no,no,,,no,,,,no,yes
India,IND,163544806,0.852426451,2 female,22,completed tertiary or more,2 second 20%,no,no,no,no,,,no,,no,no,yes,no,no,no,yes,no,yes,,,,,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2 somewhat possible,"2 family, relatives, or friends",no,,,,,no,,,,,(dk),,,,(dk),,,,yes,no,yes,no,no,,,no,,,,,,no,,,,no,no
India,IND,164079468,0.528003849,1 male,55,completed primary or less,5 richest 20%,no,no,no,no,,,no,,no,no,yes,no,no,no,yes,yes,no,,,,,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2 somewhat possible,"2 family, relatives, or friends",no,,,,,no,,,,,yes,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,,,no,,,,,,yes,yes,no,no,no,no
